"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"OD1131T","N/D","SCS1","Wealthy Study Lead","Wealthy Study Lead","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD306","111676","1.00","N/A","N/A","","Operational Delivery Profession","North West","Reporting To Costs Escalated to OD306","1.00"
"OD1132T","N/D","SCS1","Policy Driven Change Portfolio Director","Policy Driven Change Portfolio Director","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD418","1087791","0.56","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD1133T","N/D","SCS1","Deputy Director Compliance Design Lead","Deputy Director Compliance Design Lead","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD185","0","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD1134","Vacant","SCS1","Intelligence Management Ecosystem (IME) Programme Director","Intelligence Management Ecosystem (IME) Programme Director","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 16/10/2025","1.00"
"OD1135T","N/D","SCS1","DD Organisational Design and Workforce Transformation (HR Function)","DD Organisational Design and Workforce Transformation (HR Function)","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1136T","171781","1.00","N/A","N/A","","Human Resources Profession","London","Reporting To Costs Escalated to OD1136T","1.00"
"OD1136T","Phil North","SCS2","Director of HR Transformation - Operating Model & Unity Implementation","Director of HR Transformation - Operating Model & Unity Implementation","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD108","4504695","1.00","100000","100000","","Human Resources Profession","North East","nan","1.00"
"OD1137T","N/D","SCS1","Deputy Director Innovation Strategy","Deputy Director Innovation Strategy","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD835","0","1.00","N/A","N/A","","Other","London","nan","1.00"
"OD1138","N/D","SCS1","Programme Director Risk Identification, Operations and AI","Programme Director Risk Identification, Operations and AI","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1121","1109895","1.00","N/A","N/A","","Other","London","nan","1.00"
"OD1139","N/D","SCS1","Programme Director for Third Party Data Ingestion (TPDI) & Counter Criminal Capabilities (CCC)","Programme Director for Third Party Data Ingestion (TPDI) & Counter Criminal Capabilities (CCC)","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1104","849045","1.00","N/A","N/A","","Project Delivery Profession","South East","nan","1.00"
"OD1140T","N/D","SCS1","HR Director for Enterprise Transformation Group, Customer Strategy and Tax Design","HR Director for Enterprise Transformation Group, Customer Strategy and Tax Design","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD108","456606","1.00","N/A","N/A","","Human Resources Profession","London","nan","1.00"
"OD1141","Sara Ace","SCS2","Director HMRC CSR Programme","Director HMRC CSR Programme","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD108","1922731","1.00","105000","105000","","Human Resources Profession","London","nan","1.00"
"OD1142","N/D","SCS1","Director, Volume Compliance and Shared Operations","Director, Volume Compliance and Shared Operations","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD595","26757949","1.00","N/A","N/A","","Government Tax Profession","North East","nan","1.00"
"OD1143","Kevin Hubbard","SCS2","Director ISBC 2 -Director, Small Business & Individuals","Director ISBC 2 -Director, Small Business & Individuals","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD106","1038530","1.00","110000","110000","","Operational Delivery Profession","East Midlands","nan","1.00"
"OD1144","N/D","SCS1","Complex Customer Management Programme Director","Complex Customer Management Programme Director","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1125","925030","1.00","N/A","N/A","","Project Delivery Profession","South East","nan","1.00"
"OD1145T","Vacant","SCS1","Programme Director (VOA to HMRC)","Programme Director (VOA to HMRC)","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 19/11/2025","1.00"
"OD1146","N/D","SCS1","DD Compliance Large Business South & Wales","DD Compliance Large Business South & Wales","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD220","0","1.00","N/A","N/A","","Government Tax Profession","Wales","nan","1.00"
"OD1147","N/D","SCS1","Deputy Director Corporate Centre - Volume Compliance & Shared Operations (VCSO)","Deputy Director Corporate Centre - Volume Compliance & Shared Operations (VCSO)","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD273","4982576","1.00","N/A","N/A","","Operational Delivery Profession","West Midlands","nan","1.00"
"OD1148","N/D","SCS1","Programme Director People Capability","Programme Director People Capability","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1121","527589","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD1149","Vacant","SCS1","Deputy Director cross cutting","Deputy Director cross cutting","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 04/12/2025","1.00"
"OD1150T","N/D","SCS1","Deputy Director Wealthy Compliance","Deputy Director Wealthy Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD306","0","1.00","N/A","N/A","","Government Tax Profession","Yorkshire and The Humber","nan","1.00"
"OD1151","Vacant","SCS1","Technical Service Owner","Technical Service Owner","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 13/02/2026","1.00"
"OD1153T","N/D","SCS1","Change Delivery Group - Customer Management Cluster","Change Delivery Group - Customer Management Cluster","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1106","1005836","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD1154","Vacant","SCS1","Deputy Director Policy and Strategy","Deputy Director Policy and Strategy","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 20/01/2026","1.00"
"OD1155","N/D","SCS1","Data Protection Remediation Programme Director","Data Protection Remediation Programme Director","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD252","0","1.00","N/A","N/A","","Project Delivery Profession","North East","nan","1.00"
"OD1156","N/D","SCS1","Deputy Director Shared Operations (VC&SO)","Deputy Director Shared Operations (VC&SO)","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","22304787","1.00","N/A","N/A","","Government Tax Profession","East Midlands","nan","1.00"
"OD1157T","Vacant","SCS1","Deputy Director, Strategic Change Model Implementation","Deputy Director, Strategic Change Model Implementation","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 05/02/2026","1.00"
"OD1158T","Vacant","SCS1","Programme Director Unity Programme","Programme Director Unity Programme","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 02/03/2026","1.00"
"OD1159T","Vacant","SCS1","Deputy Director Risk, Readiness and Response","Deputy Director Risk, Readiness and Response","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 20/02/2026","1.00"
"OD1160T","Vacant","SCS1","Deputy Director Operational Resilience","Deputy Director Operational Resilience","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 24/03/2026","1.00"
"OD1161T","Vacant","SCS1","Director Test, Learn and Grow","Director Test, Learn and Grow","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 27/02/2026","1.00"
"OD1162","Colin Stewart","SCS2","Director Legacy Clearance & Backlog Reduction","Director Legacy Clearance & Backlog Reduction","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD835","200340","1.00","115000","115000","","Other","Yorkshire and The Humber","Reporting To Costs Escalated to OD835","1.00"
"OD1163T","Vacant","SCS1","Director and SRO for Customer Transformation Programmes in CSG","Director and SRO for Customer Transformation Programmes in CSG","HM Revenue and Customs","HM Revenue and Customs","Customer Services","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 11/03/2026","1.00"
"OD1164","N/D","SCS1","DD Corporate Centre - Small Business & Individuals (SB&I)","DD Corporate Centre - Small Business & Individuals (SB&I)","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","3693662","1.00","N/A","N/A","","Government Tax Profession","West Midlands","nan","1.00"
"OD1166T","N/D","SCS1","Deputy Director Compliance – Design Lead","Deputy Director Compliance – Design Lead","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD595","98681","0.94","N/A","N/A","","Policy Profession","London","Reporting To Costs Escalated to OD595","1.00"
"0","N/D","SCS2","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD108","0","0.84","120000","120000","","Human Resources Profession","London","nan","1.00"
"0","N/D","SCS2","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","Customer Services","N/A","N/A","OD103","0","1.00","130000","130000","","Other","West Midlands","nan","1.00"
"0","N/D","SCS2","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD106","0","1.00","140000","140000","","Other","Unknown","nan","1.00"
"0","N/D","SCS1","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD721","0","1.00","N/A","N/A","","Government Tax Profession","North West","nan","1.00"
"0","N/D","SCS1","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD1141","0","1.00","N/A","N/A","","Project Delivery Profession","North East","nan","1.00"
"0","N/D","SCS1","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD532","0","1.00","N/A","N/A","","Government Tax Profession","Scotland","nan","1.00"
"0","N/D","SCS1","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","N/A","N/A","OD136","0","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"0","N/D","SCS1","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","N/A","N/A","OD794","0","1.00","N/A","N/A","","Government Finance Profession","London","nan","1.00"
"0","N/D","SCS1","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","N/A","N/A","OD618","0","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"0","N/D","SCS1","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","N/A","N/A","OD151","0","1.00","N/A","N/A","","Project Delivery Profession","North West","nan","1.00"
"0","N/D","SCS1","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","Customer Services","N/A","N/A","OD644","0","1.00","N/A","N/A","","Project Delivery Profession","North West","nan","1.00"
"0","N/D","SCS1","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","Customer Services","N/A","N/A","OD523","0","1.00","N/A","N/A","","Government Finance Profession","London","nan","1.00"
"0","N/D","SCS1","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD1017","0","1.00","N/A","N/A","","Project Delivery Profession","North West","nan","1.00"
"0","N/D","SCS1","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD1041","0","1.00","N/A","N/A","","Government Property Profession","Wales","nan","1.00"
"0","N/D","SCS1","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","N/A","N/A","OD705","0","1.00","N/A","N/A","","Digital, Data and Technology Professions","South West","nan",""
"0","N/D","SCS1","Not in post","Not in post","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","N/A","N/A","OD420","0","1.00","N/A","N/A","","Project Delivery Profession","Yorkshire and The Humber","nan",""
